distance_ID	interactor1	distance_score	interactor2	distance_class	p_value
1	OTU-BV5-denovo380235	0,966268925251221	OTU.BV5.denovo928	1	0.05
2	OTU-PV4-denovo111956	0,965015919579671	Microbacteriaceae	1	0.05
3	Pseudomonadales	0,967342369831478	OTU.PV4.denovo438451	1	0.05
4	Gammaproteobacteria	0,966281785477502	OTU.PV4.denovo438451	1	0.05
5	Pseudomonadales	0,965028399033213	OTU.PV4.denovo443927	1	0.05
6	OTU-BV5-denovo928	0,966268925251221	OTU.BV5.denovo380235	1	0.05
7	OTU-PV4-denovo438451	0,967342369831478	Pseudomonadales	1	0.05
8	OTU-PV4-denovo443927	0,965028399033213	Pseudomonadales	1	0.05
9	OTU-PV4-denovo438451	0,966281785477502	Gammaproteobacteria	1	0.05
10	Microbacteriaceae	0,965015919579671	OTU.PV4.denovo111956	1	0.05
distance_ID	interactor1	distance_score	interactor2	distance_class	p_value
1	OTU-PV4-denovo111956	0,96783159351552	Gammaproteobacteria	2	1.00
2	Gammaproteobacteria	0,96783159351552	OTU.PV4.denovo111956	2	1.00
distance_ID	interactor1	distance_score	interactor2	distance_class	p_value
1	OTU-BV5-denovo3363	0,969834671090863	OTU.BV5.denovo331375	3	0.69
2	OTU-BV5-denovo331375	0,969834671090863	OTU.BV5.denovo3363	3	0.69
distance_ID	interactor1	distance_score	interactor2	distance_class	p_value
1	Pseudomonadaceae	0,973786531043516	OTU.PV4.denovo438451	4	1.00
2	Pseudomonas	0,973406299301985	OTU.PV4.denovo438451	4	1.00
3	OTU-PV4-denovo438451	0,973786531043516	Pseudomonadaceae	4	1.00
4	OTU-PV4-denovo574010	0,972726926500552	Pseudomonadaceae	4	1.00
5	OTU-PV4-denovo438451	0,973406299301985	Pseudomonas	4	1.00
6	OTU-PV4-denovo574010	0,972726926500552	Pseudomonas	4	1.00
7	Pseudomonadaceae	0,972726926500552	OTU.PV4.denovo574010	4	1.00
8	Pseudomonas	0,972726926500552	OTU.PV4.denovo574010	4	1.00
distance_ID	interactor1	distance_score	interactor2	distance_class	p_value
1	OTU-BV5-denovo1235	0,974821167935886	OTU.BV5.denovo331375	5	1.00
2	OTU-BV5-denovo1243	0,97527080559458	OTU.BV5.denovo54718	5	1.00
3	OTU-BV5-denovo54718	0,97527080559458	OTU.BV5.denovo1243	5	1.00
4	OTU-BV5-denovo331375	0,974821167935886	OTU.BV5.denovo1235	5	1.00
5	OTU-PV4-denovo180678	0,975122240931894	Rhizobiaceae	5	1.00
6	Pseudomonadaceae	0,975934259179125	OTU.PV4.denovo604387	5	1.00
7	Pseudomonas	0,975483872779646	OTU.PV4.denovo604387	5	1.00
8	OTU-PV4-denovo604387	0,975934259179125	Pseudomonadaceae	5	1.00
9	Rhizobiaceae	0,975122240931894	OTU.PV4.denovo180678	5	1.00
10	OTU-PV4-denovo604387	0,975483872779646	Pseudomonas	5	1.00
distance_ID	interactor1	distance_score	interactor2	distance_class	p_value
1	OTU-BV5-denovo1350	0,978848203418785	OTU.BV5.denovo54718	6	1.00
2	Rhizobiaceae	0,97850092925754	OTU.PV4.denovo151998	6	1.00
3	Pseudomonas	0,978467810537536	OTU.PV4.denovo443927	6	1.00
4	OTU-BV5-denovo54718	0,978848203418785	OTU.BV5.denovo1350	6	1.00
5	OTU-PV4-denovo151998	0,97850092925754	Rhizobiaceae	6	1.00
6	Pseudomonas	0,978848203418785	OTU.PV4.denovo418031	6	1.00
7	OTU-PV4-denovo443927	0,978467810537536	Pseudomonas	6	1.00
8	OTU-PV4-denovo418031	0,978848203418785	Pseudomonas	6	1.00
distance_ID	interactor1	distance_score	interactor2	distance_class	p_value
1	Pseudomonadales	0,979279019842485	OTU.PV4.denovo328606	7	1.00
2	Pseudomonadaceae	0,979625073034073	OTU.PV4.denovo443927	7	1.00
3	OTU-PV4-denovo328606	0,979279019842485	Pseudomonadales	7	1.00
4	OTU-PV4-denovo344566	0,979991375627614	Rhizobiaceae	7	1.00
